NameGame,IdGame,Diamond,Harga,TanggalBeli
Mobile Legends,192168001,344,80000,23/11/2022 18:55:47
PUBG,192168003,429,100000,24/11/2022 18:55:47
Mobile Legends,232323,429,100000,24/11/2022 14:38:04
Mobile Legends,2,14,3999,24/11/2022 15:14:54
Mobile Legends,12312321,86,19999,24/11/2022 16:16:07
Free Fire,324234234234,172,39999,24/11/2022 16:30:04
Mobile Legends,3842394,257,59999,24/11/2022 16:52:21
Mobile Legends,3842394,257,59999,24/11/2022 16:52:21
Mobile Legends,3842394,257,59999,24/11/2022 16:52:21
Free Fire,21312312321,86,19999,24/11/2022 16:52:21
